,city,position,company_name,company_size,company_type,salary,education,ability,experience
35,西安-雁塔区,数据分析师,麦克利兰(北京)信息技术有限公司,20-99人,民营,6千-8千,本科,SPSS SQL ,不限
36,西安-高新技术产业开发区,数据分析师,河南聚蓝环保科技有限公司,20-99人,民营,3千-6千,本科,数据分析 ,不限
37,西安-雁塔区,数据分析师（国企单位，不加班）,中软国际,10000人以上,上市公司,面议,本科,数据分析 数据挖掘 数据仓库 数据库 ,3-5年
38,西安,经济数据分析师（带薪培训+朝九晚五+月薪过万）,西安柴尔德商务信息咨询有限公司,100-299人,股份制企业,6千-8千,大专,风险控制 数据分析 风险审核 ,1-3年
39,西安-雁塔区,数据分析师-DA,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1.5万-2万,大专,数据分析 SQL excel Power BI Python 办公软件 ,3-5年
40,西安-雁塔区,数据分析师/双休+六险一金,人瑞人力资源服务济南分公司,1000-9999人,民营,5千-7千,本科,行业数据分析 推广数据运营 ,不限
41,西安-雁塔区,数据分析师,中软国际,10000人以上,上市公司,面议,本科,Python BI SQL 数据清洗 数据分析 MySQL ,不限
42,西安-莲湖区,美团数据分析师,陕西雷风网络科技有限公司,500-999人,民营,4千-7千,大专,对账 ERP系统 excel 录入 ,无经验
43,西安,数据分析师,北京字节跳动科技有限公司,10000人以上,民营,4千-7千,本科,,1-3年
44,西安-雁塔区,数据分析师,人瑞人力资源服务济南分公司,1000-9999人,民营,5千-7千,本科,行业数据分析 推广数据运营 ,不限
45,西安,数据分析师,浪潮集团,10000人以上,国企,6千-8千,大专,,3-5年
46,西安,数据分析师,陕西智博数据分析师事务所有限公司,20人以下,合资,8千-1万,本科,数据分析 商业数据分析 数据挖掘 商业分析 数据采集 需求分析 ,1-3年
47,西安-高新技术产业开发区,T0账户数据分析师（非销售+技术岗+双休）,西安德融投资管理咨询有限责任公司,20-99人,民营,1万-1.5万,大专,股票交易 实盘交易 短线交易 ,不限
48,西安,数据分析师,北京字节跳动科技有限公司,10000人以上,民营,4千-7千,本科,,1-3年
49,西安,数据分析师,西安博锐森自动化信息技术有限公司,100-299人,民营,5千-8千,本科,分析 数据 ,1-3年
50,西安-雁塔区,数据分析师（质检）,人瑞人力资源服务济南分公司,1000-9999人,民营,5千-7千,本科,行业数据分析 数据分析 归纳统计 ,不限
