,city,position,company_name,company_size,company_type,salary,education,ability,experience
25,成都,数据分析师,西辰软件,100-299人,民营,1万-1.5万,本科,数据分析 ,3-5年
26,成都,数据分析师,成都若溪科技有限公司,20-99人,民营,4千-6千,本科,Python 数据挖掘 数据分析 ,1-3年
27,成都-龙泉驿区,数据分析师,易指生活（上海）科技股份有限公司,20-99人,民营,6千-1万,本科,商业数据分析 数据分析 数据挖掘 ,1-3年
28,成都,数据分析师,成都嘉谊互娱科技有限公司,100-299人,民营,4千-8千,本科,数据分析 数据处理 数据清洗 SQL 统计 数据建模 ,1-3年
29,成都,数据分析师（HR方向）,纬创资通(成都)有限公司,1000-9999人,外商独资,5千-8千,本科,数据分析 Power BI BI HR ,不限
30,成都-高新区,数据分析师,成都中科大旗软件股份有限公司,100-299人,民营,6千-1万,本科,数据分析 Hive 数据采集 ,1-3年
31,成都-新都区,数据分析师,四川京邦达物流科技有限公司,10000人以上,民营,1万-1.5万,大专,SQL Python ,3-5年
32,成都-高新区,数据分析师,四川昆仑智汇数据科技有限公司,20-99人,民营,1.5万-2万,本科,Python SQL ,3-5年
33,成都-武侯区,高级数据分析师,麻辣空间,1000-9999人,民营,7千-1.2万,本科,Python 数据挖掘 R语言 行业分析 数据采集 数据建模 ,1-3年
34,成都-高新区,商业数据分析师,成都路行通信息技术有限公司,1000-9999人,民营,1.5万-2万,本科,商业分析 数据挖掘 SQL Python 行业分析 数据运营 ,3-5年
35,成都-双流区,数据分析师,特驱集团,1000-9999人,股份制企业,1万-2万,本科,数据采集 数据挖掘 ,3-5年
36,成都-高新区,资深数据分析师,成都美尔贝科技股份有限公司,500-999人,民营,1.5万-2.5万,本科,SQL Server Python 数据分析 ,3-5年
37,成都,游戏数据分析师（双休）,成都摩奇创造信息技术有限公司,100-299人,外商独资,8千-1.3万,本科,行业分析 商业分析 SQL Python 手机游戏 ,1-3年
38,成都,数据分析师,成都高新米兰柏羽医学美容医院有限公司,300-499人,上市公司,5千-8千,本科,数据分析 SQL Python SPSS ,1-3年
39,成都-高新区,高级数据分析师,成都美尔贝科技股份有限公司,500-999人,民营,8千-1.2万,本科,Tableau 需求分析 SQL ,3-5年
40,成都-武侯区,大数据分析师,重庆灵狐科技股份有限公司北京分公司,500-999人,股份制企业,4千-5千,本科,数据分析 大数据分析 数据架构 ,不限
41,成都,数据分析师,麦可思数据科技(成都)有限公司,100-299人,民营,6千-1万,本科,数据分析 数据清洗 数据建模 ,不限
42,成都-高新区,数据分析师,万江港利,500-999人,股份制企业,6千-1万,本科,数据分析 降本增效 ,3-5年
43,成都,数据分析师,四川汉密尔顿医学美容研究中心,100-299人,医院,8千-1万,本科,数据分析 BI SQL MySQL ,1-3年
44,成都-武侯区,风控数据分析师,四川福摩数字科技有限公司,300-499人,民营,6千-1.2万,本科,数据分析 大数据分析 数据监控 ,3-5年
45,成都-武侯区,高级数据分析师+区块链行业,四川未来云尚科技有限公司,20-99人,股份制企业,7千-1.4万,学历不限,风险控制 数据分析 金融 风险审核 区块链 ,1年以下
46,成都,环保数据分析师,四川中环众合环境科技有限公司,20-99人,民营,6千-8千,硕士,环境工程 环境科学与工程 数据分析 监测平台 大气管控 ,无经验
47,成都-青羊区,数据分析师/带薪培训,人瑞人力资源服务,1000-9999人,民营,5千-8千,大专,数据挖掘 搜索 数据架构 DB2 ,不限
48,成都-金牛区,数据分析师,四川鱼鳞图信息技术股份有限公司,500-999人,民营,8千-1.5万,本科,数据分析 ,1-3年
49,成都-高新区,数据分析师,北京赫德阳数据通信科技有限公司,20-99人,民营,1万-1.5万,大专,数据统计分析 ,3-5年
50,成都-武侯区,数据分析师（质检）,人瑞人力资源服务济南分公司,1000-9999人,民营,6千-7千,本科,行业数据分析 ,不限
51,成都-武侯区,数据分析师,人瑞人力资源服务,1000-9999人,民营,4千-6千,大专,数据库开发 数据仓库 数据分析 商业 DB2 ,不限
